persona_id,mean,count,mean_pct
4,0.68,50,68.0
716,0.66,50,66.0
798,0.66,50,66.0
110,0.66,50,66.0
699,0.66,50,66.0
232,0.66,50,66.0
108,0.64,50,64.0
576,0.64,50,64.0
804,0.64,50,64.0
440,0.64,50,64.0
255,0.64,50,64.0
712,0.64,50,64.0
68,0.64,50,64.0
781,0.62,50,62.0
795,0.62,50,62.0
691,0.62,50,62.0
496,0.62,50,62.0
911,0.62,50,62.0
519,0.62,50,62.0
675,0.62,50,62.0
159,0.62,50,62.0
487,0.62,50,62.0
187,0.62,50,62.0
406,0.62,50,62.0
898,0.62,50,62.0
252,0.62,50,62.0
865,0.62,50,62.0
284,0.62,50,62.0
794,0.6,50,60.0
83,0.6,50,60.0
664,0.6,50,60.0
185,0.6,50,60.0
117,0.6,50,60.0
711,0.6,50,60.0
118,0.6,50,60.0
738,0.6,50,60.0
688,0.6,50,60.0
175,0.6,50,60.0
506,0.6,50,60.0
415,0.6,50,60.0
368,0.6,50,60.0
123,0.6,50,60.0
405,0.6,50,60.0
189,0.6,50,60.0
222,0.6,50,60.0
235,0.6,50,60.0
283,0.6,50,60.0
10,0.6,50,60.0
337,0.6,50,60.0
950,0.6,50,60.0
837,0.6,50,60.0
867,0.6,50,60.0
353,0.6,50,60.0
536,0.6,50,60.0
708,0.6,50,60.0
927,0.6,50,60.0
574,0.6,50,60.0
786,0.58,50,57.99999999999999
607,0.58,50,57.99999999999999
769,0.58,50,57.99999999999999
531,0.58,50,57.99999999999999
771,0.58,50,57.99999999999999
398,0.58,50,57.99999999999999
814,0.58,50,57.99999999999999
169,0.58,50,57.99999999999999
427,0.58,50,57.99999999999999
861,0.58,50,57.99999999999999
245,0.58,50,57.99999999999999
307,0.58,50,57.99999999999999
191,0.58,50,57.99999999999999
135,0.58,50,57.99999999999999
514,0.58,50,57.99999999999999
495,0.58,50,57.99999999999999
149,0.58,50,57.99999999999999
772,0.58,50,57.99999999999999
764,0.58,50,57.99999999999999
752,0.58,50,57.99999999999999
544,0.58,50,57.99999999999999
697,0.58,50,57.99999999999999
44,0.58,50,57.99999999999999
84,0.58,50,57.99999999999999
579,0.58,50,57.99999999999999
713,0.58,50,57.99999999999999
49,0.58,50,57.99999999999999
723,0.58,50,57.99999999999999
403,0.58,50,57.99999999999999
248,0.58,50,57.99999999999999
261,0.58,50,57.99999999999999
982,0.58,50,57.99999999999999
246,0.58,50,57.99999999999999
349,0.58,50,57.99999999999999
971,0.58,50,57.99999999999999
176,0.58,50,57.99999999999999
39,0.56,50,56.00000000000001
85,0.56,50,56.00000000000001
90,0.56,50,56.00000000000001
555,0.56,50,56.00000000000001
162,0.56,50,56.00000000000001
647,0.56,50,56.00000000000001
704,0.56,50,56.00000000000001
719,0.56,50,56.00000000000001
943,0.56,50,56.00000000000001
3,0.56,50,56.00000000000001
9,0.56,50,56.00000000000001
973,0.56,50,56.00000000000001
275,0.56,50,56.00000000000001
16,0.56,50,56.00000000000001
387,0.56,50,56.00000000000001
977,0.56,50,56.00000000000001
317,0.56,50,56.00000000000001
315,0.56,50,56.00000000000001
321,0.56,50,56.00000000000001
306,0.56,50,56.00000000000001
902,0.56,50,56.00000000000001
942,0.56,50,56.00000000000001
46,0.56,50,56.00000000000001
981,0.56,50,56.00000000000001
410,0.56,50,56.00000000000001
834,0.56,50,56.00000000000001
393,0.56,50,56.00000000000001
447,0.56,50,56.00000000000001
170,0.56,50,56.00000000000001
168,0.56,50,56.00000000000001
210,0.56,50,56.00000000000001
454,0.56,50,56.00000000000001
919,0.56,50,56.00000000000001
566,0.56,50,56.00000000000001
749,0.56,50,56.00000000000001
746,0.56,50,56.00000000000001
